Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.8852112182, 2.15590347462;"{""type"": ""Point"", ""coordinates"": [2.15590347462358, 48.88521121822768]}";53783;CHATOU-CROISSY;CHATOU CROISSY;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;586754.235;131657.474
48.6259908189, 1.77169568576;"{""type"": ""Point"", ""coordinates"": [1.771695685761024, 48.625990818888205]}";46832;GAZERAN;GAZERAN;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;558362.3;102972.211
48.8294290162, 1.6690101627;"{""type"": ""Point"", ""coordinates"": [1.669010162704609, 48.829429016243154]}";47959;TACOIGNIERES-RICHEBOURG;TACOIGNIÈRES RICHEBOURG;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;550993.415;125655.88
48.7952802463, 2.13605048966;"{""type"": ""Point"", ""coordinates"": [2.136050489663708, 48.79528024627206]}";43219;VERSAILLES-CHANTIERS;VERSAILLES-CHANTIERS;Train / RER;1;1;1;0;0;0;0;RER_C;0;RER_C;0;0;0;0;SNCF;1;1;585271.657;121660.829
48.9973920018, 1.63016762727;"{""type"": ""Point"", ""coordinates"": [1.630167627274754, 48.99739200181825]}";46983;ROSNY-SUR-SEINE;ROSNY-SUR-SEINE;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;548317.107;144358.747
48.9895025071, 1.70301613419;"{""type"": ""Point"", ""coordinates"": [1.703016134189666, 48.98950250713139]}";43157;MANTES-LA-JOLIE;MANTES LA JOLIE;Train;1;1;0;0;0;0;0;TRAIN_J / TRAIN_N;TRAIN_J / TRAIN_N;0;0;0;0;0;SNCF;1;1;553639.811;143434.01
48.9792922476, 1.78397340775;"{""type"": ""Point"", ""coordinates"": [1.783973407750887, 48.97929224764532]}";46975;ISSOU-PORCHEVILLE;ISSOU-PORCHEVILLE;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;559555.844;142251.962
48.9806461004, 2.27208477275;"{""type"": ""Point"", ""coordinates"": [2.272084772747633, 48.980646100425986]}";47898;ERMONT-EAUBONNE;ERMONT EAUBONNE;Train / RER;1;1;1;0;0;0;0;TRAIN_J;TRAIN_J;0;0;0;0;0;SNCF;1;1;595283.5;142256.0
49.0217739562, 2.22937648839;"{""type"": ""Point"", ""coordinates"": [2.229376488386948, 49.02177395624445]}";47963;VAUCELLES;VAUCELLES;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;592164.031;146833.011
48.979447983, 2.29247713155;"{""type"": ""Point"", ""coordinates"": [2.292477131551554, 48.979447982967606]}";46477;CHAMP DE COURSES D'ENGHIEN;CHAMP DE COURSES D'ENGHIEN;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;596776.022;142121.69
48.7997288262, 2.18368410848;"{""type"": ""Point"", ""coordinates"": [2.183684108478813, 48.79972882623396]}";47883;CHAVILLE-VELIZY;CHAVILLE-VÉLIZY;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;588772.194;122147.286
48.8072466121, 2.04051920334;"{""type"": ""Point"", ""coordinates"": [2.040519203342146, 48.80724661209069]}";47884;FONTENAY-LE-FLEURY;FONTENAY-LE-FLEURY;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;578258.456;123014.655
48.8599987313, 1.87559559028;"{""type"": ""Point"", ""coordinates"": [1.87559559028266, 48.85999873133798]}";46857;BEYNES;BEYNES;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;566180.876;128941.536
48.897973449, 2.12211744606;"{""type"": ""Point"", ""coordinates"": [2.122117446063669, 48.89797344902409]}";43237;LE VESINET-LE PECQ;VÉSINET LE PECQ;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;584280.592;133083.144
48.5555915569, 3.3028712226;"{""type"": ""Point"", ""coordinates"": [3.30287122259626, 48.55559155694787]}";47181;PROVINS;PROVINS;Train;1;1;0;0;0;0;0;TRAIN_P;TRAIN_P;0;0;0;0;0;SNCF;1;1;671335.354;95445.065
48.5351397661, 2.54434895173;"{""type"": ""Point"", ""coordinates"": [2.544348951730932, 48.53513976609529]}";45812;PONTHIERRY-PRINGY;PONTHIERRY-PRINGY;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;615348.16;92734.284
48.4872228755, 2.75115365838;"{""type"": ""Point"", ""coordinates"": [2.751153658380149, 48.487222875528246]}";43123;FONTAINE-LE-PORT;FONTAINE-LE-PORT;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;630650.348;87468.949
48.4428820642, 2.76092673374;"{""type"": ""Point"", ""coordinates"": [2.760926733738456, 48.442882064226566]}";47145;HERICY;HÉRICY;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;631400.539;82542.185
48.3943084388, 2.76402818744;"{""type"": ""Point"", ""coordinates"": [2.76402818743697, 48.39430843875558]}";47961;THOMERY;THOMERY;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;631660.623;77141.966
48.3787957617, 2.89720178188;"{""type"": ""Point"", ""coordinates"": [2.897201781880238, 48.3787957616843]}";43144;LA GRANDE PAROISSE;LA GRANDE PAROISSE;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;641536.013;75481.588
48.2677581063, 2.68564709266;"{""type"": ""Point"", ""coordinates"": [2.685647092656553, 48.267758106342576]}";43245;NEMOURS-SAINT-PIERRE;NEMOURS ST-PIERRE;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;625920.972;63039.047
